,convocatoria,region,motivo,resolucion_ret_beca,fec_resolucion_ret_beca,fec_Postulacion,tipoinstitucion,institucioneducativa,institucionsede,carreradescripcion,genero
11,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-12,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA ELECTRICA,MASCULINO
13,Beca 18 Modalidad Ordinaria 2012,LIMA,0,RESOLUCION JEFATURAL,2014-02,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,COMPUTACION CIENTIFICA,MASCULINO
14,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA DE SOFTWARE,MASCULINO
17,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2015-03,2013-01,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA INDUSTRIAL,MASCULINO
18,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-11,2013-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA INDUSTRIAL,MASCULINO
19,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA ELECTRONICA,MASCULINO
20,Beca 18 Reparaciones 2012-01,LIMA,1,RESOLUCION JEFATURAL,,2012-10,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
22,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
23,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2014-02,2012-04,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,INGENIERIA AGROINDUSTRIAL,MASCULINO
24,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,2014-12,2014-03,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
25,Beca 18 VRAEM 2012-01,LIMA,1,RESOLUCION JEFATURAL,,2012-08,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
26,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,COMPUTACION CIENTIFICA,MASCULINO
27,Beca 18 VRAEM 2012-01,LIMA,1,RESOLUCION JEFATURAL,2014-04,2012-08,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
28,Beca 18 VRAEM 2012-01,LIMA,1,RESOLUCION JEFATURAL,,2012-08,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
30,Beca 18 VRAEM 2012-01,LIMA,0,RESOLUCION JEFATURAL,2014-08,2012-08,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
31,Beca 18 VRAEM 2012-01,LIMA,0,RESOLUCION JEFATURAL,2014-10,2012-09,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
32,Beca 18 VRAEM 2012-01,LIMA,0,RESOLUCION JEFATURAL,2014-02,2012-09,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
33,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2015-03,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
34,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
35,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-05,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
36,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-05,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
37,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-11,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
38,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
41,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,2013-08,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
42,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,2015-02,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
43,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
46,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,2013-08,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
47,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
48,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
50,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,2014-09,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
51,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,2013-08,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
52,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
54,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
55,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,2015-02,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
57,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
58,Beca 18 Modalidad Ordinaria 2014,LIMA,0,,2015-03,2014-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
59,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,2014-09,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
60,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
64,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
66,Beca 18 Huallaga 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
67,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,2014-09,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
68,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
69,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,2015-03,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
70,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
73,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
80,Beca 18 VRAEM 2013-01,LIMA,0,RESOLUCION JEFATURAL,2013-08,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
86,Beca 18 VRAEM 2013-01,LIMA,0,RESOLUCION JEFATURAL,2015-02,2013-03,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
87,Beca 18 VRAEM 2013-01,LIMA,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
89,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-07,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
91,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-07,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
93,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-09,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
94,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,2015-02,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
95,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
96,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-09,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
98,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-09,2013-10,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
99,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-07,2013-12,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
102,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
110,Beca 18 FFAA 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-10,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
111,Beca 18 FFAA 2014-01,LIMA,1,RESOLUCION JEFATURAL,2015-03,2013-10,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
112,Beca 18 FFAA 2014-01,LIMA,1,RESOLUCION JEFATURAL,2015-03,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
113,Beca 18 VRAEM 2013-01,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
114,Beca 18 VRAEM 2013-01,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
115,Beca 18 FFAA 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2013-10,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
116,Beca 18 FFAA 2014-01,LIMA,1,RESOLUCION JEFATURAL,2015-03,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
117,Beca 18 FFAA 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
121,Beca 18 FFAA 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2013-11,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
138,Beca 18 VRAEM 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-08,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
139,Beca 18 VRAEM 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-08,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
140,Beca 18 VRAEM 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-08,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
142,Beca 18 VRAEM 2014-01,LIMA,0,,,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
143,Beca 18 VRAEM 2014-01,LIMA,0,RESOLUCION JEFATURAL,2014-08,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
144,Beca 18 VRAEM 2014-01,LIMA,1,RESOLUCION JEFATURAL,2015-03,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
145,Beca 18 VRAEM 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
146,Beca 18 VRAEM 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
148,Beca 18 VRAEM 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
149,Beca 18 VRAEM 2014-01,LIMA,1,RESOLUCION JEFATURAL,2015-03,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
150,Beca Especial para el Adolescente 2013-01,LIMA,1,RESOLUCION JEFATURAL,2015-03,2013-08,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
151,Beca Especial para el Adolescente 2013-01,LIMA,1,RESOLUCION JEFATURAL,2014-10,2013-08,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
152,Beca 18 Albergue 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
155,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
164,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,2015-03,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
168,Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,0,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
170,Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
171,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
175,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
185,Beca 18 Albergue 2015,LIMA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
186,Beca 18 VRAEM 2015,LIMA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
189,Beca 18 Ordinaria 2015,LIMA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
191,Beca 18 Ordinaria 2015,LIMA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
199,Beca 18 FFAA 2015,LIMA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
200,Beca 18 FFAA 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
201,Beca 18 CNA 2015,LIMA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
202,Beca 18 CNA 2015,LIMA,0,RESOLUCION JEFATURAL,,2015-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
203,Beca 18 CNA 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
207,Beca 18 CNA 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-02,Instituto de Educación Superior Tecnológico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
211,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA INDUSTRIAL Y COMERCIAL,MASCULINO
212,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA INFORMATICA Y DE SISTEMAS,MASCULINO
213,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
216,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA INFORMATICA Y DE SISTEMAS,MASCULINO
217,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,"ARQUITECTURA, URBANISMO Y TERRITORIO",MASCULINO
220,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,EDUCACION INTERCULTURAL BILINGUE,MASCULINO
222,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
225,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA EN INDUSTRIAS ALIMENTARIAS,MASCULINO
231,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
232,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-09,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA INFORMATICA Y DE SISTEMAS,MASCULINO
234,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
235,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA INFORMATICA Y DE SISTEMAS,MASCULINO
236,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-02,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,"ARQUITECTURA, URBANISMO Y TERRITORIO",MASCULINO
237,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA AGROINDUSTRIAL Y DE AGRONEGOCIOS,MASCULINO
238,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA INFORMATICA Y DE SISTEMAS,MASCULINO
241,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA EMPRESARIAL,MASCULINO
252,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-02,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA INDUSTRIAL Y COMERCIAL,MASCULINO
253,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
255,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-02,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
257,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-02,2013-02,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
265,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-02,2013-03,Universidad,SAN IGNACIO DE LOYOLA,SEDE LIMA,INGENIERIA EMPRESARIAL,MASCULINO
