convocatoria,region,motivo,resolucion_ret_beca,fec_resolucion_ret_beca,fec_Postulacion,tipoinstitucion,institucioneducativa,institucionsede,carreradescripcion,genero
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-03,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-05,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-05,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-11,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-05,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2012-01,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2013-01,2012-09,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2013-08,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-02,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2013-08,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2013-08,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2013-08,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-02,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),,2015-03,2014-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Huallaga 2014-01,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-03,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2013-08,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2013-08,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios declarados nulos,,2013-06,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2013-07,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2013-07,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 VRAEM 2013-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2013-08,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2013-01,LIMA,Becarios que no se presentaron con RJ (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 VRAEM 2013-01,LIMA,Becarios que no se presentaron con RJ (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2013-01,LIMA,Becarios que no se presentaron con RJ (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 VRAEM 2013-01,LIMA,Becarios que no se presentaron con RJ (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 VRAEM 2013-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-02,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2013-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2013-01,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2015-02,2013-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-07,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-07,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-07,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-07,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-02,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2013-10,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-07,2013-12,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-07,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 FFAA 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-07,2013-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
